0  0  0 JBBCCCJDD..MJAAL.MFFKL.N..KGGN.HH...
1  1  0 JBBCCCJ.DD.MJAAL.MFFKL.N..KGGN.HH... D99
1  1  0 JBBCCCJ..DDMJAAL.MFFKL.N..KGGN.HH... D98
1  1  0 JBBCCCJDD..MJAAL.MFFKL.N..KGGNHH.... H99
1  1  0 JBBCCCJDD..MJAAL.MFFKL.N..KGGN..HH.. H99
1  1  0 JBBCCCJDD..MJAAL.MFFKL.N..KGGN...HH. H98
1  1  0 JBBCCCJDD..MJAAL.MFFKL.N..KGGN....HH H97
1  1  0 JBBCCCJDDL.MJAAL.MFFK..N..KGGN.HH... L99
1  1  0 JBBCCCJDD..MJAAL.MFFKL....KGGN.HH..N N99
2  2  0 JBBCCCJ.DD.MJAAL.MFFKL.N..KGGNHH.... D99 H99
2  2  0 JBBCCCJ.DD.MJAAL.MFFKL.N..KGGN..HH.. D99 H99
2  2  0 JBBCCCJ.DD.MJAAL.MFFKL.N..KGGN...HH. D99 H98
2  2  0 JBBCCCJ.DD.MJAAL.MFFKL.N..KGGN....HH D99 H97
2  2  0 JBBCCCJ.DD.MJAAL.MFFKL....KGGN.HH..N D99 N99
2  2  0 JBBCCCJ..DDMJAAL.MFFKL.N..KGGNHH.... D98 H99
2  2  0 JBBCCCJ..DDMJAAL.MFFKL.N..KGGN..HH.. D98 H99
2  2  0 JBBCCCJ..DDMJAAL.MFFKL.N..KGGN...HH. D98 H98
2  2  0 JBBCCCJ..DDMJAAL.MFFKL.N..KGGN....HH D98 H97
2  2  0 JBBCCCJ..DDMJAAL.MFFKL....KGGN.HH..N D98 N99
2  2  0 JBBCCCJDD..MJAAL.MFF.L.N..KGGNHHK... H99 K99
2  2  0 JBBCCCJDDL.MJAAL.MFFK..N..KGGNHH.... H99 L99
2  2  0 JBBCCCJDD..MJAAL.MFFKL....KGGNHH...N H99 N99
2  2  0 JBBCCCJDDL.MJAAL.MFFK..N..KGGN..HH.. H99 L99
2  2  0 JBBCCCJDD..MJAAL.MFFKL....KGGN..HH.N H99 N99
2  2  0 JBBCCCJDD..MJAAL.MFF.L.N..KGGN..KHH. H98 K99
2  2  0 JBBCCCJDDL.MJAAL.MFFK..N..KGGN...HH. H98 L99
